lead_id,created,status,owner,lead_score,notes,phone,legacy_field,source,deal_amount
L0078,23/9/2023,,,,,no phone,,,
L0010,9/1/2023,,,,,,,,
L0071,9/4/2023,contacted,,33,,,,cold call,
,8/14/2023,new,,1411,"follow up, ref 0063",(02) 8063 0065,,,
L0072,n/a,contacted,,,no answer,no phone,,,
L0035,2023-09-09,new,aviñas,,,,,cold call,
L0037,unknown,,ktan,47,,(02) 8048 0050,,cold call,
L0074,9/12/2023,qualified,,,,,,referral,
L0059,n/a,,,43,,0917-075-0081,,webform,
L0033,25/5/2023,contacted,,34,,+639170000033,,,
L0052,Jan 17 2023,won,ktan,,"follow up, ref 0076",+639170000076,,,
L0077,,won,,31,,(02) 8077 0079,,cold call,32233.02
L0042,4/15/2023,lost,,,,(02) 8018 0020,,referral,
L0078,23/9/2023,,,,,no phone,,,
L0034,unknown,new,mreyes,,wrong number,,,expo,
L0000,2023-03-06,won,,,,,,cold call,
,9/28/2023,contacted,,23,,,,expo,
L0058,Apr 1 2023,contacted,,1054,,,,,2651900.06
,2023-10-03,qualified,,25,,+639170000082,,cold call,
,2023-10-06,won,ktan,,"follow up, ref 0083",,,,
L0084,9/10/2023,contacted,,,,(02) 8084 0086,,referral,11747.59
,0000-00-00,qualified,,,"follow up, ref 0085",+639170000085,,expo,1766319.77
L0086,2024-13-45,contacted,mreyes,,,,,webform,59905.61
,unknown,contacted,aviñas,,,,,webform,38319.12
L0088,2023-10-20,new,jdelacruz,,,+639170000088,,referral,33290.63
L0089,0000-00-00,new,,,"sent ""quote"" v2",,,,
L0090,25/10/2023,,mreyes,50,wrong number,0917-090-0096,,cold call,
L0091,Jan 28 2023,,,,wrong number,,,referral,
,10/30/2023,contacted,jdelacruz,41,"follow up, ref 0092",,,expo,
L0188,13/7/2024,new,aviñas,2325,,+639170000188,,webform,4393949.32
,11/2/2023,qualified,,49,,+639170000093,,,
L0094,11/5/2023,lost,mreyes,40,"follow up, ref 0094",no phone,,,
L0027,6/3/2024,contacted,,,,no phone,,webform,
L0095,11/7/2023,,mreyes,16,"follow up, ref 0095",(02) 8095 0097,,expo,9931.85
,10/11/2023,,,,"sent ""quote"" v2",,,,
,n/a,contacted,,49,,no phone,,,23593.14
,11/13/2023,,mreyes,,,+639170000097,,,60135.71
L0098,11/15/2023,qualified,mreyes,,,no phone,,referral,
L0143,15/3/2024,contacted,,,"sent ""quote"" v2",+639170000143,,expo,
,Feb 18 2023,,,,no answer,no phone,,cold call,
L0100,2023-11-21,,,28,"follow up, ref 0100",0917-100-0106,,,
,4/2/2024,,,36,,0917-128-0134,,cold call,34326.84
L0101,n/a,contacted,jdelacruz,25,"sent ""quote"" v2",no phone,,referral,
L0102,26/11/2023,won,,,,,,expo,7557.21
L0113,2023-12-26,,,2698,,0917-113-0119,,referral,1338253.56
L0012,29/11/2023,,mreyes,,"follow up, ref 0103",0917-103-0109,,,44976.35
L0028,1/12/2023,lost,,,,no phone,,cold call,
L0098,11/15/2023,qualified,mreyes,,,no phone,,referral,
L0105,2023-12-04,qualified,jdelacruz,37,,,,,
L0106,,contacted,,,,(02) 8106 0108,,webform,33082.01
,2023-10-06,won,ktan,,"follow up, ref 0083",,,,
,Jan 9 2023,contacted,,38,CALL BACK,(02) 8107 0109,,cold call,
L0108,Apr 12 2023,qualified,,16,,no phone,,,23718.81
,Feb 27 2023,qualified,,,,,,expo,46021.74
L0109,Mar 15 2023,lost,,49,,0917-109-0115,,cold call,
L0110,,won,ktan,20,,+639170000110,,,
L0053,7/18/2023,new,jdelacruz,11,"follow up, ref 0053",,,webform,
L0111,2024-13-45,new,,29,"follow up, ref 0111",0917-111-0117,,,7268.94
L0007,2023-12-23,,,44,,+639170000112,,,
,2023-06-08,,,20,,no phone,,webform,18737.92
L0113,2023-12-26,,,2698,,0917-113-0119,,referral,1338253.56
,0000-00-00,qualified,,,"follow up, ref 0114",+639170000114,,expo,31893.8
L0023,28/4/2023,contacted,jdelacruz,1488,"sent ""quote"" v2",(02) 8023 0025,,,
L0027,12/31/2023,new,,2384,,,,cold call,
L0116,0000-00-00,lost,,,,,,webform,29574.23
L0012,3/19/2023,lost,,35,no answer,,,,
,2024-01-05,,mreyes,24,,,,cold call,13281.95
L0118,2024-01-08,lost,,48,"follow up, ref 0118",,,,
,Feb 11 2024,,,,,(02) 8119 0121,,,
,1/13/2024,qualified,,16,,,,webform,58181.3
,1/16/2024,lost,,,,+639170000121,,,
L0122,Mar 19 2024,won,mreyes,16,,0917-122-0128,,webform,
L0123,21/1/2024,contacted,,22,,no phone,,referral,
L0044,2024-01-24,,aviñas,29,,(02) 8124 0126,,expo,18834.52
L0031,27/1/2024,won,,34,"follow up, ref 0125",no phone,,cold call,
L0126,2024-13-45,,,,,(02) 8126 0128,,,52563.05
L0127,2024-02-01,new,,,,+639170000127,,webform,35966.79
,4/2/2024,,,36,,0917-128-0134,,cold call,34326.84
L0129,Jan 6 2024,new,,,,+639170000129,,referral,
L0188,13/7/2024,new,aviñas,2325,,+639170000188,,webform,4393949.32
L0130,2024-02-09,,,,"sent ""quote"" v2",0917-130-0136,,webform,
,0000-00-00,contacted,,,,+639170000131,,,
L0027,6/3/2024,contacted,,,,no phone,,webform,
L0132,14/2/2024,won,jdelacruz,,,,,cold call,
L0022,2/17/2024,,,13,,no phone,,,47663.15
,n/a,contacted,,49,,no phone,,,23593.14
L0134,2024-02-20,contacted,,,,0917-134-0140,,,51902.47
L0135,Apr 22 2024,,,,,,,,29201.35
L0143,15/3/2024,contacted,,,"sent ""quote"" v2",+639170000143,,expo,
L0030,2/25/2024,lost,ktan,17,"follow up, ref 0136",,,referral,
,0000-00-00,contacted,,,,no phone,,,
,4/2/2024,,,36,,0917-128-0134,,cold call,34326.84
L0033,Apr 1 2024,new,,33,wrong number,+639170000138,,webform,
L0139,4/3/2024,qualified,,,,,,referral,
L0113,2023-12-26,,,2698,,0917-113-0119,,referral,1338253.56
L0140,Mar 7 2024,,mreyes,,,+639170000140,,referral,
L0141,2024-13-45,,aviñas,,"sent ""quote"" v2",,,,
L0098,11/15/2023,qualified,mreyes,,,no phone,,referral,
,2024-03-12,,,,CALL BACK,,,cold call,32298.51
L0143,15/3/2024,contacted,,,"sent ""quote"" v2",+639170000143,,expo,
,2023-10-06,won,ktan,,"follow up, ref 0083",,,,
L0045,3/18/2024,contacted,,20,"follow up, ref 0144",no phone,,webform,8789.92
L0014,2024-13-45,won,,,,,,cold call,
,Feb 27 2023,qualified,,,,,,expo,46021.74
,3/23/2024,qualified,,15,,0917-146-0152,,referral,
,26/3/2024,won,,,,,,,42125.75
L0053,7/18/2023,new,jdelacruz,11,"follow up, ref 0053",,,webform,
,,lost,ktan,,CALL BACK,+639170000148,,referral,
L0003,3/31/2024,qualified,,40,,,,,
,2023-06-08,,,20,,no phone,,webform,18737.92
,,,,34,"follow up, ref 0150",(02) 8150 0152,,,
L0151,unknown,lost,,,,no phone,,expo,
L0023,28/4/2023,contacted,jdelacruz,1488,"sent ""quote"" v2",(02) 8023 0025,,,
L0152,2024-04-08,new,,38,,+639170000152,,,23661.38
,Jan 11 2024,,ktan,21,"follow up, ref 0153",0917-153-0159,,,
L0012,3/19/2023,lost,,35,no answer,,,,
L0003,13/4/2024,won,,,"follow up, ref 0154",,,expo,
L0010,2024-04-16,qualified,,,,,,webform,31551.1
L0042,,lost,,,CALL BACK,+639170000156,,,
L0157,2024-04-21,qualified,jdelacruz,,,,,cold call,
,n/a,contacted,,49,,no phone,,,23593.14
L0159,27/4/2024,,mreyes,,,+639170000159,,cold call,
L0160,4/29/2024,new,,,"follow up, ref 0160",,,,
L0006,Apr 2 2024,new,mreyes,,no answer,,,webform,
L0162,5/5/2024,qualified,,16,no answer,,,referral,
L0163,0000-00-00,new,,17,,0917-163-0169,,expo,
,10/5/2024,won,,,,no phone,,expo,26063.36
L0165,2024-05-13,won,,13,"follow up, ref 0165",,,,39894.93
L0166,15/5/2024,,,,,+639170000166,,referral,
L0193,2024-07-27,lost,mreyes,,wrong number,+639170000193,,,1354633.65
L0047,Mar 18 2024,,,19,,0917-167-0173,,referral,16924.25
L0168,n/a,qualified,,,,no phone,,cold call,
,0000-00-00,,,,,,,expo,
,2024-05-24,,,,,,,,16234.24
L0012,26/5/2024,,,40,"sent ""quote"" v2",0917-170-0176,,cold call,16320.5
L0163,0000-00-00,new,,17,,0917-163-0169,,expo,
L0171,0000-00-00,contacted,,,,+639170000171,,,40520.86
L0007,0000-00-00,,,,,,,cold call,
,,lost,ktan,,CALL BACK,+639170000148,,referral,
L0027,6/3/2024,contacted,,,,no phone,,webform,
L0174,6/6/2024,new,,,"follow up, ref 0174",,,referral,
L0022,2/17/2024,,,13,,no phone,,,47663.15
L0042,Jan 9 2024,won,jdelacruz,,,+639170000175,,webform,15533.17
,2024-06-11,won,,,,no phone,,expo,62273.24
L0118,2024-01-08,lost,,48,"follow up, ref 0118",,,,
L0022,Feb 14 2024,,,,,0917-177-0183,,,57823.18
,0000-00-00,,,,,,,expo,
L0012,29/11/2023,,mreyes,,"follow up, ref 0103",0917-103-0109,,,44976.35
L0002,6/19/2024,lost,,,"follow up, ref 0179",no phone,,referral,
L0036,n/a,won,,27,CALL BACK,+639170000180,,,
L0088,2023-10-20,new,jdelacruz,,,+639170000088,,referral,33290.63
L0181,n/a,new,mreyes,18,,0917-181-0187,,webform,
L0015,unknown,,,,wrong number,+639170000182,,,30293.44
L0035,2023-09-09,new,aviñas,,,,,cold call,
,30/6/2024,,,,,0917-183-0189,,,
L0028,7/3/2024,won,ktan,46,CALL BACK,,,referral,
,2023-07-31,,,35,no answer,0917-058-0064,,cold call,
,7/5/2024,won,,38,,no phone,,expo,
,2024-07-08,contacted,,44,"follow up, ref 0186",no phone,,,
L0007,21/6/2023,,jdelacruz,20,"follow up, ref 0043",,,expo,41239.46
L0187,7/11/2024,,mreyes,514,CALL BACK,,,,
L0188,13/7/2024,new,aviñas,2325,,+639170000188,,webform,4393949.32
,,,,,,(02) 8028 0030,,expo,59779.19
L0189,Apr 16 2024,lost,,19,,0917-189-0195,,referral,
,0000-00-00,,,,"follow up, ref 0190",no phone,,expo,8051.27
L0013,Jan 2 2023,,,,,no phone,,,
L0191,21/7/2024,,,16,,,,,
,Jan 24 2024,qualified,,43,,0917-192-0198,,,
L0193,2024-07-27,lost,mreyes,,wrong number,+639170000193,,,1354633.65
L0194,,lost,,,,,,,8252.81
L0195,1/8/2024,new,,,"sent ""quote"" v2",,,cold call,4519105.11
,2024-08-04,,ktan,,,,,referral,
L0197,2024-08-07,won,,,,,,referral,
L0023,9/8/2024,,,,,0917-198-0204,,,
L0199,2024-08-12,,,16,,0917-199-0205,,referral,
L0050,15/8/2024,won,,50,,(02) 8200 0202,,expo,
,17/8/2024,won,ktan,19,,+639170000201,,webform,
L0046,8/20/2024,won,mreyes,14,,,,,
L0203,2024-08-23,won,ktan,,,,,,
L0193,2024-07-27,lost,mreyes,,wrong number,+639170000193,,,1354633.65
L0011,2024-08-25,qualified,,,,+639170000204,,expo,16010.19
L0015,Jan 28 2024,,,,,,,cold call,
,0000-00-00,,,,,,,expo,
,8/31/2024,new,mreyes,19,,,,,16629.43
L0053,,won,,,,,,referral,25011.88
L0163,0000-00-00,new,,17,,0917-163-0169,,expo,
,0000-00-00,qualified,,39,"follow up, ref 0208",0917-208-0214,,expo,
L0032,2024-09-08,qualified,jdelacruz,18,,no phone,,webform,11236.17
,,lost,ktan,,CALL BACK,+639170000148,,referral,
L0210,2024-09-10,,,18,,no phone,,,
L0037,,,,45,,0917-211-0217,,expo,
L0022,2/17/2024,,,13,,no phone,,,47663.15
,9/16/2024,lost,,26,"follow up, ref 0212",,,,
L0213,Apr 18 2024,,,42,"follow up, ref 0213",(02) 8213 0215,,expo,11332.79
L0118,2024-01-08,lost,,48,"follow up, ref 0118",,,,
L0214,9/21/2024,new,,28,,no phone,,,
L0215,2024-09-24,won,,,,,,cold call,
L0012,29/11/2023,,mreyes,,"follow up, ref 0103",0917-103-0109,,,44976.35
L0025,2024-09-26,new,,,,+639170000216,,expo,19084.46
L0030,,new,,,,(02) 8217 0219,,referral,
L0088,2023-10-20,new,jdelacruz,,,+639170000088,,referral,33290.63
L0218,2024-10-02,won,,42,"follow up, ref 0218",,,expo,
,Jan 4 2024,won,,,"follow up, ref 0219",,,expo,
L0035,2023-09-09,new,aviñas,,,,,cold call,
L0220,Apr 7 2024,won,aviñas,18,no answer,(02) 8220 0222,,expo,
,10/10/2024,contacted,,,no answer,,,,
,2023-07-31,,,35,no answer,0917-058-0064,,cold call,
,unknown,,,,,+639170000222,,,
L0223,10/15/2024,won,,,,,,referral,
L0007,21/6/2023,,jdelacruz,20,"follow up, ref 0043",,,expo,41239.46
L0224,2024-10-18,qualified,,43,,no phone,,referral,
