order_id,order_date,shipped_at,city,product_category,payment_method,quantity,unit_price,revenue,discount_pct,customer_rating,delivery_notes,tracking_ref,customer_ref
ORD-00013,2024-01-12,2024-01-16T07:53:00+08:00,Muntinlupa,Books,Bank Transfer,3,554.72,1512.8,8.6,,Attempt #0013 — rider note D305,trk00013,
ORD-00014,2024-01-13,2024-01-14T08:35:00Z,Zamboanga,Toys,Credit Card,11,794.18,8464.95,2.3,5,Attempt #0014 — rider note C147,trk00014,cust.0014@mail.test
ORD-00015,2024-01-14,2024-01-19T09:27:00+08:00,,Toys,Cash on Delivery,11,666.97,6250.92,,4,Barangay hall pickup,trk00015,cust.0015@mail.test
ORD-00016,2024-01-15,2024-01-17T07:23:00+08:00,Cebu City,Beauty,Cash on Delivery,7,389.58,2244.31,18.6,,,trk00016,
ORD-00017,2024-01-16,2024-01-18T14:20:00Z,Parañaque,Books,Bank Transfer,8,645.28,4280.65,16.7,2,Attempt #0017 — rider note C267,,WALK-IN
ORD-00018,2024-01-17,2024-01-21T13:34:00+08:00,Baguio,Groceries,,169,,107556.84,,1,,TRK-2024-00018,cust.0018@mail.test
ORD-00019,2024-01-17,,,Apparel,Credit Card,10,779.37,N/A,5,4,Attempt #0019 — rider note A396,trk00019,WALK-IN
ORD-00020,2024-01-18,2024-01-20T10:31:00+08:00,Baguio,Electronics,Bank Transfer,3,812.89,2053.32,17.8,,,trk00020,cust.0020@mail.test
ORD-00021,2024-01-19,2024-01-22T17:54:00+08:00,Baguio,Toys,Maya,10,,4467.21,0.5,2,Attempt #0021 — rider note B578,,
ORD-00022,2024-01-20,2024-01-24T12:33:00+08:00,Davao City,Groceries,Cash on Delivery,11,801.38,8696.77,,5,Attempt #0022 — rider note D742,,cust.0022@mail.test
ORD-00023,2024-01-21,2024-01-26T08:37:00+08:00,Muntinlupa,Home & Kitchen,Maya,10,399.08,3533.73,9,1,Attempt #0023 — rider note A690,trk00023,cust.0023@mail.test
ORD-00024,2024-01-22,,Cebu City,Home & Kitchen,Maya,11,474.6,4426.13,,2,,PH-00024-X,
,2024-03-11,2024-03-14T09:10:00+08:00,Parañaque,Apparel,Maya,2,,767.67,7.9,4,,PH-00076-X,WALK-IN
,2024-01-23,,Dasmariñas,Apparel,Cash on Delivery,293,432.52,114553.41,,5,Contact before arrival,PENDING-ASSIGN,
,2024-06-15,2024-06-16T12:04:00Z,Davao City,Books,,7,379.37,817.79,68.7,2,,trk00178,+63 917 000 0178
ORD-00026,2024-01-24,,Zamboanga,,Cash on Delivery,371,470.79,158854.78,10.1,,Attempt #0026 — rider note A385,,CUST-0026
,2024-09-20,,Davao City,Beauty,Maya,,326.33,1146.52,60.2,4,"Buyer said ""urgent"" delivery",trk00280,WALK-IN
ORD-00027,2024-01-25,2024-01-27T19:57:00+08:00,Iloilo City,Apparel,Cash on Delivery,12,331.23,3922.47,,,"Buyer said ""urgent"" delivery",PENDING-ASSIGN,WALK-IN
ORD-00028,,2024-01-28T06:58:00+08:00,Muntinlupa,Apparel,Cash on Delivery,9,918.11,6964.06,,,,PENDING-ASSIGN,
ORD-00029,2024-01-27,,Iloilo City,Groceries,,8,708.8,4769.39,17.6,,Attempt #0029 — rider note B202,PH-00029-X,cust.0029@mail.test
ORD-00030,2024-01-28,2024-01-31T11:52:00+08:00,Muntinlupa,Apparel,Cash on Delivery,8,784.11,5584.22,8.4,5,,PENDING-ASSIGN,CUST-0030
ORD-00031,2024-01-29,2024-01-30T10:43:00+08:00,Iloilo City,Apparel,GCash,213,422.14,34347.48,61.8,1,,PENDING-ASSIGN,WALK-IN
ORD-00032,2024-01-30,,Dasmariñas,Groceries,Cash on Delivery,5,404.43,1766.25,,,,trk00032,
ORD-00033,2024-01-31,,,Sports,Cash on Delivery,4,727.83,2891.67,2.7,5,Contact before arrival,PENDING-ASSIGN,
ORD-00034,2024-02-01,2024-02-03T07:16:00+08:00,Davao City,Home & Kitchen,Maya,12,878.59,10476.62,1.6,,,TRK-2024-00034,CUST-0034
ORD-00035,,,Baguio,Toys,Credit Card,7,3759.13,26004.67,3.1,3,Attempt #0035 — rider note A533,TRK-2024-00035,CUST-0035
ORD-00036,2024-02-03,,Quezon City,Groceries,Bank Transfer,8,659.27,,10.2,,,PENDING-ASSIGN,WALK-IN
ORD-00037,2024-02-03,2024-02-05T08:45:00+08:00,Iloilo City,Apparel,Credit Card,2,823.79,392.05,76.8,2,,,CUST-0037
ORD-00038,2024-02-04,,Dasmariñas,Apparel,Bank Transfer,11,3536.08,32000.03,19.3,4,Attempt #0038 — rider note B704,PH-00038-X,CUST-0038
ORD-00039,2024-02-05,,Iloilo City,Electronics,Cash on Delivery,3,382.83,1033.86,,2,Attempt #0039 — rider note C303,TRK-2024-00039,cust.0039@mail.test
ORD-00040,2024-02-06,,Baguio,Sports,GCash,1,501.8,436.82,13.5,4,"Gift wrap requested, no invoice inside",PENDING-ASSIGN,cust.0040@mail.test
ORD-00041,2024-02-07,2024-02-10T18:57:00Z,Baguio,,Bank Transfer,5,770.87,,10.5,5,Attempt #0041 — rider note B997,trk00041,CUST-0041
,2024-02-08,,Cagayan de Oro,Beauty,Credit Card,2,605.28,285.31,75.9,,,TRK-2024-00042,
ORD-00043,2024-02-09,,,Home & Kitchen,Bank Transfer,2,,pending,5.3,3,,PENDING-ASSIGN,CUST-0043
ORD-00044,2024-02-10,2024-02-11T06:32:00+08:00,Iloilo City,,Credit Card,6,512.51,,,3,,TRK-2024-00044,WALK-IN
,2024-02-08,,Cagayan de Oro,Beauty,Credit Card,2,605.28,285.31,75.9,,,TRK-2024-00042,
ORD-00045,2024-02-11,2024-02-15T06:50:00+08:00,Cagayan de Oro,Apparel,Cash on Delivery,2,484.57,856.44,14.2,,,PH-00045-X,+63 917 000 0045
,2024-05-14,2024-05-15T07:17:00Z,Cebu City,Beauty,Maya,6,629.57,3055.87,16.9,3,"Gift wrap requested, no invoice inside",PH-00144-X,
ORD-00046,,,Iloilo City,Books,GCash,9,705.92,6119.13,6.4,1,,PH-00046-X,+63 917 000 0046
,2024-08-19,2024-08-24T17:32:00+08:00,Dasmariñas,Electronics,Credit Card,169,781.78,116824.73,13,3,配達済み — 玄関前に置いた,PENDING-ASSIGN,CUST-0246
ORD-00047,2024-02-13,,,Groceries,,4,,1521.81,,1,Attempt #0047 — rider note A450,,
,2024-12-09,2024-12-12T16:29:00+08:00,Zamboanga,Apparel,Maya,11,807.53,2126.57,,1,"Buyer said ""urgent"" delivery",PENDING-ASSIGN,cust.0365@mail.test
ORD-00048,2024-02-14,2024-02-15T09:08:00Z,Davao City,Groceries,Credit Card,4,554.65,1790.35,17.5,1,Attempt #0048 — rider note A922,PENDING-ASSIGN,CUST-0048
ORD-00049,2024-02-15,2024-02-18T06:01:00Z,Parañaque,,GCash,10,640.65,5656.5,10.2,3,,,
ORD-00050,2024-02-16,2024-02-20T08:26:00+08:00,,Sports,Bank Transfer,3,671.3,1735.97,14.8,5,,trk00050,
ORD-00051,2024-02-17,,,Beauty,Credit Card,8,706.01,5238.32,9.6,3,,PENDING-ASSIGN,cust.0051@mail.test
ORD-00052,2024-02-18,2024-02-21T11:15:00+08:00,Las Piñas,Apparel,Bank Transfer,11,862.94,7973.98,,1,Barangay hall pickup,,
ORD-00053,2024-02-19,,Parañaque,Sports,GCash,12,,1736.37,69,5,Attempt #0053 — rider note B104,PH-00053-X,
ORD-00054,2024-02-19,,Cagayan de Oro,Books,Maya,3,673.4,1966.52,4.5,,"Leave at gate, ring twice",PH-00054-X,
ORD-00055,2024-02-20,2024-02-21T17:48:00+08:00,Zamboanga,Home & Kitchen,Credit Card,6,337.27,1660.61,17.2,,,PH-00055-X,
ORD-00056,2024-02-21,2024-02-26T10:02:00Z,Iloilo City,Apparel,GCash,7,377.96,2118.63,,1,Attempt #0056 — rider note B769,TRK-2024-00056,+63 917 000 0056
ORD-00057,2024-02-22,2024-02-23T14:01:00Z,Muntinlupa,Beauty,Credit Card,12,3504.47,,,4,"Gift wrap requested, no invoice inside",PH-00057-X,
ORD-00058,2024-02-23,,Quezon City,Home & Kitchen,Bank Transfer,6,469.07,2578.51,10.4,5,Barangay hall pickup,PH-00058-X,cust.0058@mail.test
,2024-02-24,not shipped,Las Piñas,,Bank Transfer,10,849.19,7366.77,11.1,5,Attempt #0059 — rider note C441,,cust.0059@mail.test
ORD-00060,2024-02-25,,Cagayan de Oro,Books,Maya,7,543.8,3370.21,12.9,1,Attempt #0060 — rider note B389,PH-00060-X,WALK-IN
ORD-00061,2024-02-26,2024-03-02T13:08:00Z,Cagayan de Oro,Toys,GCash,12,,1399.13,,,,PH-00061-X,+63 917 000 0061
ORD-00062,2024-02-27,2024-03-01T16:39:00Z,Iloilo City,Electronics,Cash on Delivery,3,675.4,1869.71,5.6,3,,PH-00062-X,+63 917 000 0062
ORD-00063,2024-02-28,2024-03-02T14:22:00+08:00,Cagayan de Oro,Books,Credit Card,9,775.8,2036.33,70.1,3,,PH-00063-X,+63 917 000 0063
ORD-00064,2024-02-29,,Quezon City,Apparel,Bank Transfer,1,4338.64,1798.99,,2,Attempt #0064 — rider note B888,trk00064,cust.0064@mail.test
,2024-01-07,2024-01-11T18:22:00Z,Baguio,Electronics,GCash,5,349.5,1643.13,,2,,PENDING-ASSIGN,+63 917 000 0008
ORD-00065,2024-03-01,,Iloilo City,Books,Credit Card,12,712.74,7845.53,6.8,5,"Buyer said ""urgent"" delivery",TRK-2024-00065,CUST-0065
,2024-04-12,2024-04-17T10:18:00+08:00,Quezon City,Home & Kitchen,GCash,5,547.31,,8.6,1,Attempt #0110 — rider note D155,PH-00110-X,cust.0110@mail.test
ORD-00066,2024-03-02,,Davao City,Beauty,Cash on Delivery,4,647.22,592.11,76.7,1,,PH-00066-X,CUST-0066
,2024-07-17,2024-07-22T12:50:00+08:00,Parañaque,Apparel,Bank Transfer,6,588.41,3083.68,,,,PENDING-ASSIGN,cust.0212@mail.test
ORD-00067,2024-03-03,2024-03-08T16:55:00+08:00,Bacoor,Books,Maya,5,508.05,443.22,82.5,2,Attempt #0067 — rider note D158,,cust.0067@mail.test
,2024-11-07,2024-11-08T12:34:00+08:00,Baguio,Books,GCash,426,934.73,145869.74,64.1,5,,TRK-2024-00331,
ORD-00068,2024-03-04,2024-03-05T15:19:00+08:00,Cagayan de Oro,Groceries,Credit Card,9,4243.15,15325.68,60.7,2,,PENDING-ASSIGN,+63 917 000 0068
ORD-00069,2024-03-05,2024-03-10T17:57:00+08:00,Dasmariñas,Beauty,Bank Transfer,2,4021,8093.66,1.2,2,Attempt #0069 — rider note D118,TRK-2024-00069,
ORD-00070,2024-03-06,,Quezon City,Apparel,GCash,1,460.78,411.65,9.3,5,,PENDING-ASSIGN,cust.0070@mail.test
ORD-00071,2024-03-07,2024-03-12T07:01:00+08:00,Dasmariñas,Sports,Bank Transfer,,521.51,4376.25,,1,Attempt #0071 — rider note D926,PENDING-ASSIGN,
ORD-00072,2024-03-07,,Las Piñas,Toys,Maya,325,3723.11,1092074.01,7.9,1,Contact before arrival,PH-00072-X,WALK-IN
ORD-00073,2024-03-08,2024-03-11T14:47:00+08:00,,Sports,Maya,8,728.93,5274.22,10.9,3,,PENDING-ASSIGN,+63 917 000 0073
ORD-00074,2024-03-09,2024-03-13T17:36:00+08:00,Davao City,Books,Credit Card,1,723.52,198.29,73.1,1,,PH-00074-X,WALK-IN
ORD-00075,2024-03-10,,Zamboanga,Books,Maya,9,914.69,7445.23,7.4,4,,TRK-2024-00075,CUST-0075
,2024-03-11,2024-03-14T09:10:00+08:00,Parañaque,Apparel,Maya,2,,767.67,7.9,4,,PH-00076-X,WALK-IN
ORD-00077,2024-03-12,,Bacoor,Books,Credit Card,407,,172850.26,1.5,5,"Leave at gate, ring twice",trk00077,CUST-0077
ORD-00078,2024-03-13,2024-03-17T09:16:00+08:00,Iloilo City,Home & Kitchen,Maya,11,822.06,918.13,89.7,,"Leave at gate, ring twice",,WALK-IN
ORD-00079,2024-03-14,,Quezon City,Home & Kitchen,Credit Card,5,498.02,2486.43,0.2,5,,TRK-2024-00079,+63 917 000 0079
ORD-00080,,2024-03-20T17:38:00+08:00,Davao City,Beauty,Bank Transfer,7,510.3,3359.99,,,,trk00080,cust.0080@mail.test
ORD-00081,2024-03-16,2024-03-18T19:15:00Z,Cebu City,Groceries,Cash on Delivery,11,744.86,6807.37,,,Attempt #0081 — rider note B692,PENDING-ASSIGN,
ORD-00082,2024-03-17,2024-03-22T16:18:00+08:00,Cebu City,,Bank Transfer,4,874.83,2943.33,13.5,1,,TRK-2024-00082,WALK-IN
ORD-00083,2024-03-18,,Cebu City,Apparel,Cash on Delivery,2,518.68,1018.54,,1,Attempt #0083 — rider note A651,,CUST-0083
ORD-00084,2024-03-19,,Muntinlupa,Home & Kitchen,Cash on Delivery,2,568.63,1063.37,7.3,2,Attempt #0084 — rider note B763,PENDING-ASSIGN,cust.0084@mail.test
ORD-00085,2024-03-20,,Parañaque,Apparel,GCash,10,912.74,7491.99,,,,PH-00085-X,+63 917 000 0085
,2024-03-11,2024-03-14T09:10:00+08:00,Parañaque,Apparel,Maya,2,,767.67,7.9,4,,PH-00076-X,WALK-IN
ORD-00086,2024-03-21,2024-03-25T07:50:00+08:00,,Books,Credit Card,512,4383.76,2053355.99,10.7,1,"Buyer said ""urgent"" delivery",PENDING-ASSIGN,WALK-IN
,2024-06-15,2024-06-16T12:04:00Z,Davao City,Books,,7,379.37,817.79,68.7,2,,trk00178,+63 917 000 0178
ORD-00087,2024-03-22,,Dasmariñas,Groceries,Credit Card,8,879.15,6950.8,0.6,5,"Leave at gate, ring twice",,+63 917 000 0087
,2024-10-06,2024-10-07T12:35:00+08:00,Parañaque,Electronics,GCash,11,939.98,8458.37,,4,Attempt #0297 — rider note B741,trk00297,WALK-IN
ORD-00088,2024-03-23,,Quezon City,,Cash on Delivery,11,753.11,6842.91,19.8,,Attempt #0088 — rider note C149,trk00088,+63 917 000 0088
ORD-00089,2024-03-23,,Quezon City,Sports,Maya,5,480.3,1874.59,19.8,5,"Gift wrap requested, no invoice inside",,
ORD-00090,2024-03-24,2024-03-26T13:59:00+08:00,Dasmariñas,Home & Kitchen,Credit Card,5,731.28,2955.98,18.3,1,,TRK-2024-00090,WALK-IN
ORD-00091,2024-03-25,,Bacoor,Toys,Cash on Delivery,7,331.77,1933.37,,2,Attempt #0091 — rider note B547,trk00091,+63 917 000 0091
ORD-00092,2024-03-26,2024-03-27T10:19:00+08:00,Parañaque,Apparel,Credit Card,12,,4061.42,,1,Attempt #0092 — rider note C823,,cust.0092@mail.test
,2024-03-27,,Bacoor,Toys,Bank Transfer,295,686.59,189734.58,7.8,4,Contact before arrival,TRK-2024-00093,cust.0093@mail.test
ORD-00094,2024-03-28,,Davao City,Toys,Maya,9,649.69,4698.79,18.9,4,,PH-00094-X,WALK-IN
ORD-00095,2024-03-29,2024-03-31T19:36:00+08:00,Quezon City,Apparel,Bank Transfer,4,4383.21,16485.96,4.1,,Attempt #0095 — rider note A484,,CUST-0095
ORD-00096,2024-03-30,2024-04-04T16:43:00+08:00,Quezon City,,GCash,12,769.57,7725.06,14.3,,,PENDING-ASSIGN,
ORD-00097,2024-03-31,2024-04-02T07:29:00+08:00,Iloilo City,Sports,Maya,11,913.24,10184.09,,4,Attempt #0097 — rider note C682,PENDING-ASSIGN,CUST-0097
ORD-00098,2024-04-01,2024-04-06T13:31:00+08:00,Davao City,Apparel,GCash,12,341.46,1171.09,72.2,5,,TRK-2024-00098,cust.0098@mail.test
ORD-00099,2024-04-02,,Bacoor,Books,Cash on Delivery,4,394.04,1293.6,18.5,,Attempt #0099 — rider note B996,PH-00099-X,CUST-0099
ORD-00100,2024-04-03,,Las Piñas,Toys,Maya,12,413.36,2025.33,59.3,,Attempt #0100 — rider note D310,TRK-2024-00100,WALK-IN
ORD-00101,2024-04-04,2024-04-06T07:50:00Z,Zamboanga,,Maya,305,900.59,222726.17,19.8,5,,PENDING-ASSIGN,WALK-IN
ORD-00102,2024-04-05,2024-04-07T10:03:00+08:00,Parañaque,Apparel,Cash on Delivery,4,723.57,2834.99,3.9,5,"Gift wrap requested, no invoice inside",PH-00102-X,CUST-0102
ORD-00103,2024-04-06,2024-04-11T11:20:00+08:00,Bacoor,Electronics,Bank Transfer,4,629.83,2383.98,4.5,3,Attempt #0103 — rider note C694,PENDING-ASSIGN,+63 917 000 0103
ORD-00104,2024-04-07,2024-04-09T12:12:00+08:00,Parañaque,Apparel,GCash,11,408.62,4271.61,5.3,,,PENDING-ASSIGN,+63 917 000 0104
ORD-00105,2024-04-08,,Zamboanga,Toys,Cash on Delivery,8,361.9,1050.74,63.8,4,Attempt #0105 — rider note A328,PH-00105-X,cust.0105@mail.test
,2024-02-08,,Cagayan de Oro,Beauty,Credit Card,2,605.28,285.31,75.9,,,TRK-2024-00042,
ORD-00106,2024-04-09,2024-04-10T09:57:00+08:00,Davao City,Home & Kitchen,Credit Card,2,842.64,1516.08,,2,Attempt #0106 — rider note B879,trk00106,WALK-IN
,2024-05-14,2024-05-15T07:17:00Z,Cebu City,Beauty,Maya,6,629.57,3055.87,16.9,3,"Gift wrap requested, no invoice inside",PH-00144-X,
ORD-00107,2024-04-09,2024-04-14T14:30:00+08:00,,Books,Bank Transfer,12,379.2,3775.37,17.7,5,,PH-00107-X,WALK-IN
,2024-09-04,2024-09-05T06:45:00+08:00,Dasmariñas,Groceries,Credit Card,6,460.57,2426.49,10.2,,Contact before arrival,PH-00263-X,+63 917 000 0263
ORD-00108,2024-04-10,,Cagayan de Oro,Beauty,GCash,12,933.13,10025.04,,1,,trk00108,+63 917 000 0108
,2024-12-09,2024-12-12T16:29:00+08:00,Zamboanga,Apparel,Maya,11,807.53,2126.57,,1,"Buyer said ""urgent"" delivery",PENDING-ASSIGN,cust.0365@mail.test
ORD-00109,2024-04-11,,Muntinlupa,Electronics,Cash on Delivery,7,394.67,956.06,64.6,2,"Leave at gate, ring twice",trk00109,CUST-0109
,2024-04-12,2024-04-17T10:18:00+08:00,Quezon City,Home & Kitchen,GCash,5,547.31,,8.6,1,Attempt #0110 — rider note D155,PH-00110-X,cust.0110@mail.test
ORD-00111,2024-04-13,2024-04-14T13:38:00+08:00,Davao City,Electronics,Credit Card,10,404.18,3363.91,17.1,1,Attempt #0111 — rider note D645,PH-00111-X,
ORD-00112,2024-04-14,2024-04-15T14:21:00Z,Muntinlupa,Toys,GCash,6,330.5,1830.54,7.7,,,,cust.0112@mail.test
ORD-00113,2024-04-15,2024-04-17T15:50:00+08:00,Zamboanga,Electronics,Maya,9,393.73,3102.57,13.9,1,,trk00113,+63 917 000 0113
ORD-00114,2024-04-16,,Zamboanga,Books,Bank Transfer,6,648.99,3722.56,7.1,,Attempt #0114 — rider note D649,trk00114,
ORD-00115,2024-04-17,,Cagayan de Oro,Apparel,Bank Transfer,359,643.06,210175.08,,2,"Buyer said ""urgent"" delivery",PENDING-ASSIGN,+63 917 000 0115
ORD-00116,2024-04-18,2024-04-21T08:53:00+08:00,Muntinlupa,Beauty,Maya,5,656.38,2653.51,,1,Attempt #0116 — rider note B695,PENDING-ASSIGN,CUST-0116
ORD-00117,2024-04-19,2024-04-20T09:59:00Z,Muntinlupa,Groceries,GCash,2,825.16,1511.76,5.7,1,,,CUST-0117
ORD-00118,2024-04-20,2024-04-22T14:00:00+08:00,,Sports,GCash,192,501.56,12745.73,86.6,4,Attempt #0118 — rider note B757,TRK-2024-00118,CUST-0118
ORD-00119,2024-04-21,2024-04-22T17:52:00+08:00,,Sports,GCash,7,756.92,4693.81,11.9,3,,TRK-2024-00119,cust.0119@mail.test
ORD-00120,2024-04-22,2024-04-24T18:27:00+08:00,Parañaque,Electronics,GCash,8,804.25,6139.16,,,Barangay hall pickup,PH-00120-X,
ORD-00121,2024-04-23,2024-04-27T09:16:00+08:00,Cebu City,Apparel,Maya,1,637.6,528.99,17.3,4,,trk00121,
ORD-00122,2024-04-24,TBD,Las Piñas,Home & Kitchen,Bank Transfer,5,607.06,2767.69,,,配達済み — 玄関前に置いた,TRK-2024-00122,WALK-IN
ORD-00123,2024-04-25,2024-04-27T15:37:00+08:00,Bacoor,Apparel,,11,515.99,5180.19,10.4,,Barangay hall pickup,TRK-2024-00123,CUST-0123
ORD-00124,2024-04-25,2024-04-26T12:57:00+08:00,Zamboanga,Apparel,Bank Transfer,7,830.08,5231.83,9.9,,,trk00124,cust.0124@mail.test
ORD-00125,2024-04-26,2024-04-28T11:29:00+08:00,Bacoor,Toys,Bank Transfer,5,4154.75,19837.77,6.6,,"Buyer said ""urgent"" delivery",PH-00125-X,CUST-0125
,2024-01-07,2024-01-11T18:22:00Z,Baguio,Electronics,GCash,5,349.5,1643.13,,2,,PENDING-ASSIGN,+63 917 000 0008
ORD-00126,2024-04-27,,Las Piñas,Home & Kitchen,Cash on Delivery,1,534.61,67.01,87.3,5,Barangay hall pickup,TRK-2024-00126,
,2024-04-12,2024-04-17T10:18:00+08:00,Quezon City,Home & Kitchen,GCash,5,547.31,,8.6,1,Attempt #0110 — rider note D155,PH-00110-X,cust.0110@mail.test
,2024-04-28,2024-04-29T15:05:00+08:00,,Sports,Maya,10,753.24,6332.17,,4,,trk00127,
,2024-08-03,2024-08-05T06:34:00+08:00,Muntinlupa,Toys,Cash on Delivery,8,930.35,7119.54,5.7,3,Attempt #0229 — rider note D635,trk00229,WALK-IN
ORD-00128,2024-04-29,,Bacoor,Home & Kitchen,Maya,10,785.84,6858.25,14.6,1,Attempt #0128 — rider note D311,trk00128,cust.0128@mail.test
,2024-11-07,2024-11-08T12:34:00+08:00,Baguio,Books,GCash,426,934.73,145869.74,64.1,5,,TRK-2024-00331,
ORD-00129,2024-04-30,,Las Piñas,Apparel,Credit Card,1,937.05,887.01,6.7,,,PH-00129-X,+63 917 000 0129
ORD-00130,2024-05-01,,Iloilo City,Toys,Maya,7,477.86,2962.19,,1,Contact before arrival,PH-00130-X,
ORD-00131,2024-05-02,2024-05-05T13:34:00+08:00,Zamboanga,Toys,GCash,587,499.36,267790.81,7.2,1,"Buyer said ""urgent"" delivery",PH-00131-X,
ORD-00132,2024-05-03,2024-05-04T11:12:00+08:00,Cagayan de Oro,Sports,Credit Card,5,882.83,3910,9.2,1,,PH-00132-X,+63 917 000 0132
ORD-00133,2024-05-04,2024-05-08T10:29:00+08:00,Muntinlupa,Books,Bank Transfer,12,393.69,4415.14,9,,Attempt #0133 — rider note D516,TRK-2024-00133,WALK-IN
ORD-00134,2024-05-05,,Bacoor,Home & Kitchen,Cash on Delivery,,4254.62,,16.7,,,TRK-2024-00134,cust.0134@mail.test
ORD-00135,2024-05-06,,Iloilo City,,Bank Transfer,2,329.09,519.96,,3,,,WALK-IN
ORD-00136,2024-05-07,,Quezon City,Beauty,Credit Card,12,490.57,1754.87,,2,Attempt #0136 — rider note B155,TRK-2024-00136,CUST-0136
ORD-00137,2024-05-08,2024-05-11T11:43:00Z,Bacoor,Electronics,Maya,11,329.45,1355.93,,4,Attempt #0137 — rider note A198,PENDING-ASSIGN,+63 917 000 0137
ORD-00138,2024-05-09,,Muntinlupa,Books,Credit Card,9,579.86,4281.22,,1,,trk00138,CUST-0138
ORD-00139,2024-05-10,,Muntinlupa,Toys,Bank Transfer,12,623.06,6126.88,18.6,1,Attempt #0139 — rider note B535,trk00139,
ORD-00140,,,Las Piñas,Apparel,Cash on Delivery,354,671.78,200246.71,13.4,2,Barangay hall pickup,PH-00140-X,
ORD-00141,2024-05-12,,Bacoor,Beauty,Cash on Delivery,8,353.82,2868.31,1.5,2,配達済み — 玄関前に置いた,trk00141,CUST-0141
ORD-00142,2024-05-12,2024-05-14T18:28:00+08:00,Cagayan de Oro,Beauty,GCash,12,908.09,9194.78,,,,trk00142,+63 917 000 0142
ORD-00143,2024-05-13,2024-05-15T14:49:00Z,Iloilo City,Toys,GCash,7,4408.47,27534.58,11.8,4,,PENDING-ASSIGN,
,2024-05-14,2024-05-15T07:17:00Z,Cebu City,Beauty,Maya,6,629.57,3055.87,16.9,3,"Gift wrap requested, no invoice inside",PH-00144-X,
ORD-00145,2024-05-15,2024-05-16T13:04:00+08:00,Cebu City,Books,GCash,1,593.1,549.23,6.7,1,Attempt #0145 — rider note C154,PENDING-ASSIGN,cust.0145@mail.test
ORD-00146,2024-05-16,2024-05-17T07:46:00+08:00,Las Piñas,Apparel,Maya,11,897.45,8219.29,,,Attempt #0146 — rider note A531,trk00146,cust.0146@mail.test
,2024-03-11,2024-03-14T09:10:00+08:00,Parañaque,Apparel,Maya,2,,767.67,7.9,4,,PH-00076-X,WALK-IN
ORD-00147,2024-05-17,2024-05-19T18:27:00Z,Bacoor,Home & Kitchen,GCash,5,347.68,1670.75,,4,,PENDING-ASSIGN,
,2024-07-01,2024-07-02T09:05:00+08:00,Cebu City,Electronics,Maya,252,527.01,124501.45,6.9,2,Contact before arrival,PH-00195-X,WALK-IN
ORD-00148,2024-05-18,2024-05-22T09:17:00+08:00,Las Piñas,Beauty,Bank Transfer,9,917.94,8320.33,0.7,3,,TRK-2024-00148,+63 917 000 0148
,2024-10-06,2024-10-07T12:35:00+08:00,Parañaque,Electronics,GCash,11,939.98,8458.37,,4,Attempt #0297 — rider note B741,trk00297,WALK-IN
